Fly_Date,ButterflyNum,Sex,Age (days),Pre_flight_mass,PreFM_error,FWL,HWL,Post_flight_mass,PostFM_error,mass_diff,thoracic_mass,TM_error,abdominal_mass,AB_error,FMR_avg,RMR,Norm_CO2_avg,Norm_rmr,Flight_CO2_avg/rmr
1/15/2021,KS1,Male,10,0.4677,0.0005,47.10,33.94,0.4496,0.0004,0.0181,-,-,-,-,2.96475,0.430539,6.338999359,0.920545221,6.886135751
1/16/2021,CS4,Female,8,0.2525,0.0006,43.52,27.86,0.2460,0.0005,0.0065,0.1038,0.0002,0.0822,0.0002,3.51123,0.287293,13.90586139,1.137794059,12.22177359
1/16/2021,CS7,Female,8,0.2509,0.0006,44.12,29.78,0.2443,0.0006,0.0066,0.1096,0.0002,0.0851,0.0002,2.2324,0.218824,8.897568752,0.872156238,10.20180602
1/16/2021,KS2,Male,8,0.5202,0.0006,47.21,34.89,0.5094,0.0002,0.0108,0.2655,0.0001,0.1642,0.0001,5.99107,0.53323,11.5168589,1.025048058,11.23543312
1/16/2021,CS5,Female,8,0.3640,0.0005,46.41,29.22,0.3474,0.0005,0.0166,0.1530,0.0002,0.1313,0.0002,4.17423,0.398503,11.46766484,1.094788462,10.47477685
1/16/2021,KS3,Male,8,0.6323,0.0006,51.31,35.12,0.6208,0.0008,0.0115,0.2825,0.0002,0.1960,0.0003,11.3403,0.568674,17.93499921,0.899373715,19.94165374
1/16/2021,CS2,Female,8,0.2698,0.0007,43.50,29.20,0.2635,0.0007,0.0063,0.1266,0.0002,0.0833,0.0001,4.54608,0.242569,16.84981468,0.899069681,18.74138905
1/16/2021,CS3,Female,8,0.4334,0.0004,47.73,31.02,0.4053,0.0003,0.0281,0.1826,0.0002,0.1456,0.0003,4.75421,1.7102,10.96956622,3.946008306,2.77991463
1/18/2021,CS30,Male,8,0.4107,0.0005,48.27,32.80,0.4056,0.0006,0.0051,0.1969,0.0002,0.1375,0.0002,6.80239,0.343723,16.56291697,0.836919893,19.79032535
1/18/2021,KS11,Female,8,0.5298,0.0005,53.95,35.92,0.5207,0.0006,0.0091,0.2476,0.0004,0.1868,0.0002,7.31671,0.557927,13.81032465,1.053089845,13.11409916
1/19/2021,CF13,Female,8,0.4920,0.0004,46.32,32.01,0.4682,0.0005,0.0238,0.1846,0.0002,0.2178,0.0002,3.82875,1.30837,7.782012195,2.659288618,2.926351109
1/19/2021,SF1,Female,8,0.3584,0.0006,50.77,34.13,0.3524,0.0005,0.0060,0.1857,0.0002,0.0908,0.0002,4.41609,0.316504,12.32167969,0.883102679,13.95271466
1/19/2021,CF9,Female,8,0.3746,0.0008,47.74,31.95,0.3631,0.0005,0.0115,0.1805,0.0002,0.1117,0.0002,4.68126,0.637312,12.4966898,1.701313401,7.34531909
1/19/2021,CF5,Female,8,0.3849,0.0004,46.62,31.39,0.3797,0.0004,0.0052,0.1714,0.0001,0.1436,0.0001,4.98994,0.370645,12.96425045,0.962964406,13.46285529
1/19/2021,KF2,Male,8,0.5412,0.0005,51.64,35.25,0.5359,0.0004,0.0053,0.2726,0.0002,0.1800,0.0002,7.58533,0.430664,14.01576127,0.795757576,17.61310442
1/19/2021,CF2,Female,9,0.3580,0.0004,49.01,33.36,0.3514,0.0004,0.0066,0.1841,0.0001,0.0992,0.0002,4.05873,0.212955,11.33723464,0.594846369,19.05909699
1/20/2021,KS7,Female,10,0.5419,0.0004,54.18,36.44,0.5347,0.0004,0.0072,0.2498,0.0002,0.1951,0.0002,6.14117,0.333067,11.33266285,0.61462816,18.43824216
1/20/2021,KS8,Male,10,0.5937,0.0004,55.18,36.92,0.5803,0.0004,0.0134,0.3030,0.0002,0.1762,0.0002,4.48391,0.559687,7.55248442,0.942710123,8.011459977
1/20/2021,KS12,Female,9,0.4727,0.0003,52.50,34.48,0.4648,0.0003,0.0079,0.2367,0.0002,0.1410,0.0001,6.52641,0.400312,13.80666385,0.846862704,16.30330842
1/21/2021,KF5,Male,8-9,0.6670,0.0004,54.00,36.09,0.6621,0.0004,0.0049,0.2886,0.0002,0.2759,0.0002,8.20952,0.813106,12.30812594,1.219049475,10.09649418
1/21/2021,CF31,Male,8,0.4618,0.0005,47.93,32.01,0.4555,0.0003,0.0063,0.2188,0.0002,0.1470,0.0001,7.31707,0.479695,15.84467302,1.038750541,15.25358822
1/21/2021,KF11,Male,8-9,0.5163,0.0004,51.85,33.41,0.5053,0.0003,0.0110,0.2631,0.0002,0.1518,0.0002,5.6099,0.438709,10.86558203,0.849717219,12.7872918
1/22/2021,KF18,Female,8,0.4558,0.0004,51.38,34.83,0.4512,0.0004,0.0046,0.2342,0.0001,0.1275,0.0001,5.16079,0.415295,11.32248793,0.911134269,12.42680504
1/22/2021,KF16,Male,8,0.6419,0.0003,53.79,37.13,0.6355,0.0003,0.0064,0.2683,0.0002,0.2656,0.0002,4.05399,0.816079,6.315609908,1.27134912,4.967644064
